,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,
ONS code,Authority,Ward Name,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both) ,Ballot paper not returned ,Postal voting statement unreturned ,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002262,Medway,Rochester East,"7,993","5,070",63.43,"5,034",62.98,"5,107",63.89,,0,0,0,36,,36,,"1,267","1,061",5,2,"1,061",0,13,"1,024",37,,,,,,,,,,,,,,,,,,,,,,,,,
E05002263,Medway,Rochester South & Horsted,"10,112","6,935",68.58,"6,899",68.23,"6,989",69.12,,0,4,0,32,,36,,"1,956","1,691",4,8,"1,691",3,13,"1,637",54,,,,,,,,,,,,,,,,,,,,,,,,,
E05002264,Medway,Rochester West,"7,929","5,396",68.05,"5,335",67.28,"5,427",68.44,,0,4,0,57,,61,,"1,494","1,288",4,4,"1,288",4,8,"1,257",31,,,,,,,,,,,,,,,,,,,,,,,,,
E05002265,Medway,Strood North,"10,304","6,825",66.24,"6,769",65.69,"6,889",66.86,,0,9,0,47,,56,,"1,969","1,658",9,8,"1,658",4,22,"1,594",64,,,,,,,,,,,,,,,,,,,,,,,,,
E05002266,Medway,Strood Rural,"11,221","7,575",67.51,"7,392",65.88,"7,633",68.02,,0,15,0,168,,183,,"2,027","1,705",3,4,"1,705",4,14,"1,647",58,,,,,,,,,,,,,,,,,,,,,,,,,
E05002267,Medway,Strood South,"11,090","6,589",59.41,"6,398",57.69,"6,654",60.00,,0,12,0,179,,191,,"2,125","1,773",5,6,"1,773",3,24,"1,708",65,,,,,,,,,,,,,,,,,,,,,,,,,
E05002268,Medway,Twydall,"10,218","6,229",60.96,"6,053",59.24,"6,286",61.52,,0,2,0,174,,176,,"1,806","1,524",12,6,"1,524",4,9,"1,467",57,,,,,,,,,,,,,,,,,,,,,,,,,
E05002269,Medway,Walderslade,"7,383","4,615",62.51,"4,593",62.21,"4,684",63.44,,0,1,0,21,,22,,"1,667","1,384",1,5,"1,384",4,16,"1,315",69,,,,,,,,,,,,,,,,,,,,,,,,,
E05002270,Medway,Watling,"7,261","4,830",66.52,"4,723",65.05,"4,871",67.08,,0,6,0,101,,107,,"1,206","1,015",0,9,"1,015",3,8,974,41,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Acklam,"4,493","2,862",63.70,"2,803",62.39,"2,881",64.12,,0,2,1,56,0,59,,578,468,0,0,0,5,14,449,0,,23,17,84,242,70,43,0,32,,193,8,71,70,,,,,,,,,,,
,Middlesbrough,Ayresome,"4,213","2,249",53.38,"2,228",52.88,"2,275",54.00,,0,3,0,18,0,21,,556,445,0,0,0,5,21,419,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Berwick Hills & Pallister,"6,205","2,285",36.83,"2,252",36.29,"2,305",37.15,,0,3,3,27,0,33,,606,459,0,0,0,2,18,439,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Brambles & Thorntree,"5,829","2,149",36.87,"2,127",36.49,"2,162",37.09,,0,2,0,9,11,22,,484,362,0,0,0,3,10,349,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Central,"5,889","2,559",43.45,"2,525",42.88,"2,609",44.30,,0,7,0,27,0,34,,823,634,0,0,0,10,40,584,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001488,Middlesbrough,Coulby Newham,"6,748","3,568",52.87,"3,518",52.13,"3,602",53.38,,0,0,0,50,0,50,,"1,049",843,0,0,0,9,25,809,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Hemlington,"4,726","2,552",54.00,"2,522",53.36,"2,570",54.38,,0,4,0,26,0,30,,530,415,0,0,0,3,15,397,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Kader,"4,586","2,994",65.29,"2,961",64.57,"3,013",65.70,,0,0,0,33,0,33,,728,621,0,0,0,11,8,602,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Ladgate,"4,059","2,225",54.82,"2,186",53.86,"2,239",55.16,,0,1,0,38,0,39,,510,417,0,0,0,5,9,403,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Linthorpe,"4,547","2,882",63.38,"2,830",62.24,"2,902",63.82,,0,4,0,48,0,52,,646,527,0,0,0,7,13,507,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Longlands & Beechwood,"6,782","3,195",47.11,"3,157",46.55,"3,222",47.51,,0,3,0,35,0,38,,750,591,0,0,0,6,21,564,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001495,Middlesbrough,Marton East,"4,176","2,784",66.67,"2,759",66.07,"2,816",67.43,,0,1,0,24,0,25,,626,537,0,0,0,8,24,505,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001496,Middlesbrough,Marton West,"4,316","2,926",67.79,"2,899",67.17,"2,944",68.21,,0,1,0,26,0,27,,769,654,0,0,0,6,12,636,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Newport,"6,102","2,577",42.23,"2,542",41.66,"2,611",42.79,,0,13,22,0,0,35,,614,478,0,0,0,10,24,444,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,North Ormesby,"1,798",788,43.83,777,43.21,794,44.16,,0,0,0,11,0,11,,153,113,0,0,0,1,5,107,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001498,Middlesbrough,NUNTHORPE,"4,033","2,704",67.05,"2,688",66.65,"2,728",67.64,,0,1,0,15,0,16,,822,699,0,0,0,4,20,675,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Park,"7,022","3,997",56.92,"3,916",55.77,"4,047",57.63,,0,6,0,75,0,81,,845,660,0,0,0,14,36,610,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Park End & Beckfield,"6,072","2,721",44.81,"2,695",44.38,"2,754",45.36,,0,3,0,23,0,26,,619,493,0,0,0,9,24,460,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Stainton & Thornton,"1,845","1,214",65.80,"1,198",64.93,"1,219",66.07,,0,1,5,10,0,16,,269,232,0,0,0,0,5,227,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,Trimdon,"3,648","2,330",63.87,"2,300",63.05,"2,347",64.34,,0,3,0,27,0,30,,441,370,0,0,0,6,11,353,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009406,Milton Keynes,Bletchley East,"10,165","5,830",57.35,"5,803",57.09,"5,903",58.07,,0,0,0,27,0,27,,"2,189","1,858",5,10,"1,858",12,15,"1,785",47,,21,115,23,142,56,0,525,142,,434,30,94,128,09:30,14:30,,,,,,,,,
E05009407,Milton Keynes,Bletchley Park,"11,122","7,198",64.72,"7,147",64.26,"7,273",65.39,,0,0,0,51,0,51,,"2,188","1,980",6,3,"1,980",11,9,"1,905",55,,,,,,,,,,,,,,,,,,,,,,,,,
